ein_fk,ein_pk,ntee_irs_code,ntee_nccs_code,ntee_modern_code,nccs_level_1_category,nccs_level_2_category,nccs_level_3_category,total_revenue,total_income,total_assets,city,state,zipcode,street_address,census_cbsa_fips_code,census_cbsa_name,census_block_fips_code,census_urban_area,census_state_abbreviation,census_county_name,address_full,address_matched,latitude,longitude,geocoder_confidence_score,geocoder_match_type,bmf_subsection_code,bmf_status_code,bmf_private_foundation_filing_required,bmf_organization_code,bmf_income_code,bmf_group_exemption_number,bmf_foundation_code,bmf_filing_requirement_code,bmf_deductibility_code,bmf_classification_code,bmf_asset_code,bmf_affiliation_code,organization_ruling_date,organization_fiscal_year,organization_ruling_year,organization_first_year,organization_last_year,organization_year_count,organization_personal_ico,org_name_secondary,org_name,organization_fiscal_period
,000029215,X99,X99,REL-X99-RG,501C3 CHARITY,S,ZF,,0.0,0.0,SOUTH BOSTON,MA,02127-4415,523 E BROADWAY,14460,"Boston-Cambridge-Newton, MA-NH",250250604001000,U,MA,,"523 E BROADWAY,SOUTH BOSTON,MA,02127-4415","523 East Broadway, South Boston, Massachusetts, 02127",42.335127,-71.0435205,100.0,M,3,1,0,1,0.0,2365.0,10,6,1,7000,0,9,1972-10-01,2024-01-01,1972-01-01,2004-01-01,2024-01-01,,,,ST GEORGE CATHEDRAL,10
,000038065,T31,T31,PSB-T31-RG,501C3 CHARITY,S,ZD,,0.0,0.0,PORTLAND,OR,97232,,38900,"Portland-Vancouver-Hillsboro, OR-WA",410510020021009,U,OR,,"PORTLAND,OR,97232","97232, Portland, Oregon",45.529235,-122.63984,100.0,M,3,,,,,,15,,,,,,2003-08-01,2007-01-01,2003-01-01,2003-01-01,2007-01-01,,,,LGBTQ COMMUNITY CENTER FUND,8
,000065837,K28,K28,HMS-K28-RG,501CX NONPROFIT,O,HS,,0.0,0.0,WAKEMAN,OH,44889,4655 STATE ROUTE 60,35940,"Norwalk, OH",390779154001005,R,OH,,"4655 STATE ROUTE 60,WAKEMAN,OH,44889","4655 State Route 60, Wakeman, Ohio, 44889",41.264631,-82.399761,100.0,M,5,,,,,5148.0,0,1,,,,,1991-05-01,2015-01-01,1991-01-01,2012-01-01,2015-01-01,,,64 HURON COUNTY POMONA,OHIO STATE GRANGE OF PATRONS OF HUSBANDRY,5
,000071212,N63,N63,HMS-N63-RG,501CX NONPROFIT,O,HS,,0.0,0.0,LEICESTER,MA,01524-2005,,49340,"Worcester, MA-CT",250277351004006,U,MA,,"LEICESTER,MA,01524-2005","01524-2005, Leicester, Massachusetts",42.243048,-71.9171685,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,LITTLE LEAGUE BASEBALL INC LEICESTER LL 2210507,6
,000085177,N63,N63,HMS-N63-RG,501CX NONPROFIT,O,HS,,0.0,0.0,WORCESTER,MA,01603-0000,,49340,"Worcester, MA-CT",250277310022008,U,MA,,"WORCESTER,MA,01603-0000","01603, Worcester, Massachusetts",42.2492500000001,-71.83295,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,LITTLE LEAGUE BASEBALL INC SHREWSBURY NAT LL 2210515,6
,000100514,N61,N61,HMS-N61-RG,501C3 CHARITY,O,HS,,0.0,0.0,GLENDIVE,MT,59330,312 COOKE ST,,,300210003001029,U,MT,,"312 COOKE ST,GLENDIVE,MT,59330","312 Cooke St, Glendive, Montana, 59330",47.1204451876334,-104.702871080761,100.0,M,3,,,,,0.0,16,20,,,,,2004-08-01,2010-01-01,2004-01-01,2004-01-01,2010-01-01,,,,DAWSON COUNTY ROD & GUN CLUB,8
,000107893,S80,S80,PSB-S80-RG,501CX NONPROFIT,O,PB,,0.0,0.0,STAFFORD SPGS,CT,6076,204 OLD SPRINGFIELD RD,25540,"Hartford-East Hartford-Middletown, CT",90138902023032,R,CT,,"204 OLD SPRINGFIELD RD,STAFFORD SPGS,CT,6076","204 Old Springfield Rd, Stafford Springs, Connecticut, 06076",41.9924572503319,-72.3803987903512,100.0,M,4,,,,,239.0,0,0,,,,,1940-12-01,2011-01-01,1940-01-01,1999-01-01,2011-01-01,,,STURBRIDGE LIONS CLUB,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,12
,000108854,G40,G40,HEL-G40-RG,501C3 CHARITY,O,HE,,0.0,0.0,FLOURTOWN,PA,19031,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",420912103001018,U,PA,,"FLOURTOWN,PA,19031","19031, Flourtown, Pennsylvania",40.10803,-75.21205,100.0,M,3,,,,,,15,,,,,,2003-11-01,2008-01-01,2003-01-01,2004-01-01,2008-01-01,,,,NATIONAL FOUNDATION FOR CELIAC AWARENESS,11
,000117615,S81,S81,PSB-S81-RG,501CX NONPROFIT,O,PB,,0.0,0.0,HARWICH,MA,02645-0362,,12700,"Barnstable Town, MA",250010111004006,U,MA,,"HARWICH,MA,02645-0362","02645-0362, Harwich, Massachusetts",41.701302,-70.0553295,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,HARWICH JUNIOR WOMANS CLUB INC,6
,000143597,B94,B94,EDU-B94-RG,501CX NONPROFIT,O,ED,,0.0,0.0,MERRICK,NY,11566-4108,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360594151012016,U,NY,,"MERRICK,NY,11566-4108","11566-4108, Merrick, New York",40.656573,-73.558818,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,BIRCH PARENT TEACHER ASSOCIATION,6
,000229664,N63,N63,HMS-N63-RG,501C3 CHARITY,O,HS,,0.0,0.0,MUNFORD,AL,36268,,45180,"Talladega-Sylacauga, AL",11210101023048,R,AL,,"MUNFORD,AL,36268","36268, Munford, Alabama",33.5286400000001,-85.9584849999999,100.0,M,3,,,,,,15,,,,,,1995-11-01,2006-01-01,1995-01-01,1999-01-01,2006-01-01,,,3010410 MUNFORD LITTLE LEAGUE,LITTLE LEAGUE BASEBALL INC,11
,000260049,X21,X21,REL-X21-RG,501C3 CHARITY,O,RE,,0.0,0.0,HOSFORD,FL,32334-0092,PO BOX 92,,,120779501001103,R,FL,,"PO BOX 92,HOSFORD,FL,32334-0092","32334-0092, Hosford, Florida",30.362526,-84.7882485,98.0,M,3,1,0,5,0.0,2024.0,10,6,1,7200,0,9,1969-08-01,2024-01-01,1969-01-01,2008-01-01,2024-01-01,,,,CORINTH BAPTIST CHURCH,8
,000262358,O51,O51,HMS-O51-RG,501CX NONPROFIT,O,HS,,0.0,0.0,HANFORD,CA,93230,1150 W LACEY BLVD,25260,"Hanford-Corcoran, CA",60310010011007,U,CA,,"1150 W LACEY BLVD,HANFORD,CA,93230","1150 W Lacey Blvd, Hanford, California, 93230",36.330741,-119.6619435,100.0,M,4,,,,,1021.0,0,10,,,,,1948-02-01,2011-01-01,1948-01-01,2008-01-01,2011-01-01,,,H90622 HANFORD WEST HIGH SCHOOL,KEY CLUB INTERNATIONAL,2
,000262650,T30,T30,PSB-T30-RG,501C3 CHARITY,S,ZD,,0.0,0.0,MEMPHIS,TN,38111,3522 CARNES AVE,32820,"Memphis, TN-MS-AR",471570074001010,U,TN,,"3522 CARNES AVE,MEMPHIS,TN,38111","3522 Carnes Ave, Memphis, Tennessee, 38111",35.1115249436781,-89.9449798673322,100.0,M,3,,,,,0.0,15,1,,,,,2013-04-01,2014-01-01,2013-01-01,2013-01-01,2014-01-01,,,,THE SOCIETY OF ST VINCENT DE PAUL OF MEMPHIS INC,4
,000267075,S80,S80,PSB-S80-RG,501CX NONPROFIT,O,PB,,0.0,0.0,BRUNSWICK,GA,31520,3324 KELWIN AVE,15260,"Brunswick, GA",131270005012044,U,GA,,"3324 KELWIN AVE,BRUNSWICK,GA,31520","3324 Kelwin Ave, Brunswick, Georgia, 31520",31.1782287829649,-81.4884049346184,100.0,M,4,,,,,239.0,0,0,,,,,1940-12-01,2011-01-01,1940-01-01,1999-01-01,2011-01-01,,,BRUNSWICK GATEWAY,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,12
,000281181,M24,M24,HMS-M24-RG,501C3 CHARITY,O,HS,,0.0,0.0,EL DORADO HLS,CA,95762,,40900,"Sacramento-Roseville-Folsom, CA",60170307112025,U,CA,,"EL DORADO HLS,CA,95762","95762, El Dorado Hills, California",38.6345700000001,-121.073085,100.0,M,3,,,,,,15,,,,,,2005-02-01,2008-01-01,2005-01-01,2005-01-01,2008-01-01,,,,EL DORADO HILLS FIREFIGHTERS FOUNDATION,2
,000343563,N60,N60,HMS-N60-RG,501CX NONPROFIT,O,HS,,0.0,0.0,NEW YORK,NY,10023,2121 BROADWAY 4TH FLR,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610163004001,U,NY,,"2121 BROADWAY 4TH FLR,NEW YORK,NY,10023","2121 Broadway, New York, New York, 10023",40.780611,-73.981719,100.0,M,7,,,,,0.0,0,10,,,,,2006-02-01,2010-01-01,2006-01-01,2006-01-01,2010-01-01,,,,AMERICAN JAPAN KARATE ASSOCIATION INC,2
,000344394,D113,D1131,ENV-D31-MS,501C3 CHARITY,S,ZA,,0.0,0.0,SALEM,MA,1970,10 LORING AVE,14460,"Boston-Cambridge-Newton, MA-NH",250092041012007,U,MA,,"10 LORING AVE,SALEM,MA,1970","10 Loring Avenue, Salem, Massachusetts, 01970",42.504678,-70.891695,100.0,M,3,,,,,0.0,15,20,,,,,2010-02-01,2013-01-01,2010-01-01,2010-01-01,2013-01-01,,,,PANDAS FOUNDATION INC,2
,000347239,P84,P84,HMS-P84-RG,501C3 CHARITY,O,HS,,0.0,0.0,BOULDER,CO,80308,PO BOX 18000,14500,"Boulder, CO",80130127071039,U,CO,,"PO BOX 18000,BOULDER,CO,80308","80308, Boulder, Colorado",40.02856,-105.22536,98.0,M,3,,,,,0.0,15,20,,,,,2011-09-01,2013-01-01,2011-01-01,2011-01-01,2013-01-01,,,,TRIBAL EDUCATION DEPARTMENTS NATIONAL ASSEMBLY CO,9
,000360268,,,,501C3 CHARITY,O,UN,,,,SPRINGFIELD,MO,65802-1894,1445 N BOONVILLE AVE,44180,"Springfield, MO",290770006001000,U,MO,,"1445 N BOONVILLE AVE,SPRINGFIELD,MO,65802-1894","1445 N Boonville Ave, Springfield, Missouri, 65802",37.224963,-93.2921159605281,100.0,M,3,1,0,5,0.0,1678.0,10,6,1,7000,0,9,1964-08-01,2024-01-01,1964-01-01,2019-01-01,2024-01-01,,,,IGLESIA VICTORIA,8
,000407514,B112,B11,EDU-B00-MS,501C3 CHARITY,S,ZA,,0.0,0.0,NEW BALTIMORE,MI,48047,51880 WASHINGTON ST,19820,"Detroit-Warren-Dearborn, MI",260992200033018,U,MI,,"51880 WASHINGTON ST,NEW BALTIMORE,MI,48047","51880 Washington St, New Baltimore, Michigan, 48047",42.6855929040333,-82.7422750780776,100.0,M,3,,,,,0.0,16,10,,,,,2010-02-01,2010-01-01,2010-01-01,2010-01-01,2010-01-01,,,,LIGHTHOUSE ELEMENTARY PTG,2
,000478581,C27,C27,ENV-C27-RG,501C3 CHARITY,O,EN,,0.0,0.0,EDGEWOOD,NM,87015,10 CIRCLE S RD,42140,"Santa Fe, NM",350490103112038,R,NM,,"10 CIRCLE S RD,EDGEWOOD,NM,87015","10 Circle S Rd, Edgewood, New Mexico, 87015",35.1043622345202,-106.194895765104,100.0,M,3,,,,,0.0,15,0,,,,,2001-07-01,2011-01-01,2001-01-01,2006-01-01,2011-01-01,,,,BLUE GOOSE ALLIANCE,7
,000490336,X21,X21,REL-X21-RG,501C3 CHARITY,O,RE,,0.0,0.0,LABELLE,FL,33975-0296,PO BOX 296,17500,"Clewiston, FL",120510004042090,U,FL,,"PO BOX 296,LABELLE,FL,33975-0296","33975-0296, Labelle, Florida",26.76483,-81.4379895,98.0,M,3,1,0,5,0.0,2024.0,10,6,1,7200,0,9,1969-08-01,2024-01-01,1969-01-01,2008-01-01,2024-01-01,,,,EASTSIDE BAPTIST CHURCH,8
,000495183,C50,C50,ENV-C50-RG,501C3 CHARITY,O,EN,,0.0,0.0,EAGLE,ID,83616,,14260,"Boise City, ID",160010102353021,U,ID,,"EAGLE,ID,83616","83616, Eagle, Idaho",43.7007,-116.35235,100.0,M,3,,,,,,15,,,,,,1997-02-01,2006-01-01,1997-01-01,2001-01-01,2006-01-01,,,,FRIENDS OF WEISER RIVER TRAIL INC,2
,000502859,T20,T20,PSB-T20-RG,501C3 PRIVATE FOUNDATION,S,ZC,,0.0,0.0,KINGSTON,TN,37763,149 E RACE ST,28940,"Knoxville, TN",471450302041015,U,TN,,"149 E RACE ST,KINGSTON,TN,37763","149 E Race St, Kingston, Tennessee, 37763",35.871130112384,-84.5159632584107,100.0,M,3,,,,,0.0,4,1,,,,,1988-12-01,2010-01-01,1988-01-01,1989-01-01,2010-01-01,,,,TEEN SCENE INC,12
,000502938,G30,G30,HEL-G30-RG,501CX NONPROFIT,O,HE,,0.0,0.0,WEST PALM BEACH,FL,33415-2464,,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",120990039011006,U,FL,,"WEST PALM BEACH,FL,33415-2464","33415-2464, West Palm Beach, Florida",26.676432,-80.1348795,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,STOP CHILDRENS CANCER OF PALM BEACH COUNTY INC,6
,000503904,B11,B11,EDU-B00-MS,501CX NONPROFIT,S,ZA,,0.0,0.0,AUGUSTA,GA,30901-2895,,12260,"Augusta-Richmond County, GA-SC",132450111003014,U,GA,,"AUGUSTA,GA,30901-2895","30901, Augusta, Georgia",33.4625950000001,-81.980425,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,THE PILGRIM EDUCATIONAL FUND INC,6
,000504245,N32,N32,HMS-N32-RG,501CX NONPROFIT,O,HS,,0.0,0.0,PORT ORANGE,FL,32129-0005,,19660,"Deltona-Daytona Beach-Ormond Beach, FL",121270825061015,U,FL,,"PORT ORANGE,FL,32129-0005","32129-0005, Port Orange, Florida",29.140461,-81.0216315,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,ALL CHILDRENS PARK OF PORT ORANGE INC,6
,000504421,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0.0,0.0,JASPER,AL,35502-3128,,27530,"Jasper, AL",11270202002061,U,AL,,"JASPER,AL,35502-3128","35502-3128, Jasper, Alabama",33.83451,-87.277581,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,THE JOSEPH H AND REVA ENGEL FOUNDATION,6
,000504487,A6B,A6B,ART-A6B-RG,501CX NONPROFIT,O,AR,,0.0,0.0,GAINESVILLE,FL,32606-6359,,23540,"Gainesville, FL",120010017012005,U,FL,,"GAINESVILLE,FL,32606-6359","32606-6359, Gainesville, Florida",29.677653,-82.413342,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,THE WILLIS BODINE CHORALE,6
,000504551,E21,E21,HOS-E21-RG,501CX NONPROFIT,O,HE,,0.0,0.0,TUSKEGEE,AL,36083-1763,,,,10872320001020,U,AL,,"TUSKEGEE,AL,36083-1763","36083-1763, Tuskegee, Alabama",32.427108,-85.69305,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,ZION HEALTH-SOCIAL SERVICES CORPORATION,6
,000506310,D20,D20,ENV-D20-RG,501C3 CHARITY,O,EN,,0.0,0.0,CUMBERLAND,RI,2864,PO BOX 113,39300,"Providence-Warwick, RI-MA",440070112002014,U,RI,,"PO BOX 113,CUMBERLAND,RI,2864","02864, Cumberland, Rhode Island",41.9072800000001,-71.390805,98.0,M,3,,,,,0.0,15,10,,,,,2009-07-01,2010-01-01,2009-01-01,2009-01-01,2010-01-01,,,,U-HEAL SHELTER AND SANCTUARY,7
,000512499,S11,S11,PSB-S00-MS,501CX NONPROFIT,S,ZA,,0.0,0.0,CHAPEL HILL,NC,27516-2314,,20500,"Durham-Chapel Hill, NC",371350117001009,U,NC,,"CHAPEL HILL,NC,27516-2314","27516-2314, Chapel Hill, North Carolina",35.910414,-79.062642,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,FRIENDS OF THE DOWNTOWN,6
,000512850,A6B,A6B,ART-A6B-RG,501C3 CHARITY,O,AR,,0.0,0.0,RALEIGH,NC,27610,,39580,"Raleigh-Cary, NC",371830507003005,U,NC,,"RALEIGH,NC,27610","27610, Raleigh, North Carolina",35.778625,-78.6155699999999,100.0,M,3,,,,,,15,,,,,,1990-05-01,2008-01-01,1990-01-01,1989-01-01,2008-01-01,,,,THE LEONARD D WILSON COMMUNITY CHOIR,5
,000587764,X21,X21,REL-X21-RG,501C3 CHARITY,O,RE,,0.0,0.0,LOWELL,MA,01852-0000,13 CUMMINGHAM ST,14460,"Boston-Cambridge-Newton, MA-NH",250173122004011,U,MA,,"13 CUMMINGHAM ST,LOWELL,MA,01852-0000","13 Cunningham Street, Lowell, Massachusetts, 01852",42.621498,-71.3128275,96.18,M,3,1,0,1,0.0,0.0,10,6,1,7000,0,3,2004-01-01,2024-01-01,2004-01-01,2004-01-01,2024-01-01,,,,IGLESIA BETHESDA INC,1
,000600562,I72,I72,HMS-I72-RG,501CX NONPROFIT,O,HS,,0.0,0.0,WARWICK,RI,02887-6952,,39300,"Providence-Warwick, RI-MA",440030220002023,U,RI,,"WARWICK,RI,02887-6952","02887-6952, Warwick, Rhode Island",41.699403,-71.4556215,100.0,M,,,,,,,,,,,,,,,,1989-01-01,1989-01-01,,,,WARWICK COALITION TO PREVENT CHILD ABUSE,6
,000635913,X21,X21,REL-X21-RG,501C3 CHARITY,O,RE,,0.0,0.0,LAWRENCE,MA,01840-1242,454 ESSEX ST,14460,"Boston-Cambridge-Newton, MA-NH",250092501001008,U,MA,,"454 ESSEX ST,LAWRENCE,MA,01840-1242","454 Essex Street, Lawrence, Massachusetts, 01840",42.706044,-71.1647865,100.0,M,3,1,0,1,0.0,0.0,10,6,1,7000,0,3,2004-01-01,2024-01-01,2004-01-01,2004-01-01,2024-01-01,,,,MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC,1
,000715310,B70,B70,EDU-B70-RG,501C3 CHARITY,O,ED,,0.0,0.0,SOMERVILLE,MA,2144,,14460,"Boston-Cambridge-Newton, MA-NH",250173505001002,U,MA,,"SOMERVILLE,MA,2144","02144, Somerville, Massachusetts",42.3994900000001,-71.12129,100.0,M,3,,,,,,15,10,,,,,2001-09-01,2002-01-01,2001-01-01,2002-01-01,2002-01-01,,,,THE OPENCULTURE FOUNDATION INC,9
,000725914,S22,S22,PSB-S22-RG,501CX NONPROFIT,O,PB,,0.0,0.0,SHREWSBURY,MA,1545,16 MALLARD CIR,49340,"Worcester, MA-CT",250277392022002,U,MA,,"16 MALLARD CIR,SHREWSBURY,MA,1545","16 Mallard Circle, Shrewsbury, Massachusetts, 01545",42.285564,-71.747163,100.0,M,4,,,,,0.0,0,20,,,,,2002-11-01,2010-01-01,2002-01-01,2003-01-01,2010-01-01,,,,TERNBERRY NEIGHBORHOOD ASSOCIATION,11
,000726197,A12,A12,ART-A00-MM,501C3 PRIVATE FOUNDATION,S,ZB,,0.0,0.0,SAUGUS,MA,1906,948 BROADWAY,14460,"Boston-Cambridge-Newton, MA-NH",250092083011000,U,MA,,"948 BROADWAY,SAUGUS,MA,1906","948 Broadway, Saugus, Massachusetts, 01906",42.467787,-71.0250255,100.0,M,3,,,,,0.0,4,1,,,,,2009-12-01,2013-01-01,2009-01-01,2010-01-01,2013-01-01,,,,KOWLOON CHARITIES INC,12
,000751441,M24,M24,HMS-M24-RG,501C3 CHARITY,O,HS,,0.0,0.0,MILLBURY,MA,1527,127 ELM ST,49340,"Worcester, MA-CT",250277372002010,U,MA,,"127 ELM ST,MILLBURY,MA,1527","127 Elm Street, Millbury, Massachusetts, 01527",42.18903,-71.7620985,100.0,M,3,,,,,0.0,16,20,,,,,2004-02-01,2010-01-01,2004-01-01,2004-01-01,2010-01-01,,,,LADIES AUXILIARY MILLBURY FIRE DEPARTMENT CORP,2
,000754461,O50,O50,HMS-O50-RG,501C3 CHARITY,O,HS,,0.0,0.0,LEVERETT,MA,1054,,44140,"Springfield, MA",250110406001003,R,MA,,"LEVERETT,MA,1054","01054, Leverett, Massachusetts",42.5077150000001,-72.491095,100.0,M,3,,,,,,15,,,,,,2002-10-01,2004-01-01,2002-01-01,2003-01-01,2004-01-01,,,,YOUTH ADVENTURE CORPS INC,10
,000765634,X20,X20,REL-X20-RG,501C3 CHARITY,O,RE,,0.0,0.0,MATTAPAN,MA,02126-2433,75 MORTON VILLAGE DR APT 408,14460,"Boston-Cambridge-Newton, MA-NH",250251010023000,U,MA,,"75 MORTON VILLAGE DR APT 408,MATTAPAN,MA,02126-2433","75 Morton Village Drive, #408, Mattapan, Massachusetts, 02126",42.279759,-71.0857305,100.0,M,3,1,0,1,0.0,0.0,10,6,1,7000,0,3,2004-04-01,2024-01-01,2004-01-01,2004-01-01,2024-01-01,,,,MERCY CHAPEL INTERNATIONAL,4
,000802945,A68,A68,ART-A68-RG,501C3 CHARITY,O,AR,,0.0,0.0,WEST STOCKBRIDGE,MA,1266,,38340,"Pittsfield, MA",250039342001020,R,MA,,"WEST STOCKBRIDGE,MA,1266","01266, West Stockbridge, Massachusetts",42.3370600000001,-73.37098,100.0,M,3,,,,,,15,,,,,,2002-08-01,2003-01-01,2002-01-01,2003-01-01,2003-01-01,,,,THE NATIONAL CHILDRENS MUSIC PROJECT INC,8
,000821422,Q22,Q22,IFA-Q22-RG,501C3 CHARITY,O,HS,,0.0,0.0,WASHINGTON,DC,20005,,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",110010101003001,U,DC,,"WASHINGTON,DC,20005","20005, Washington, District of Columbia",38.9051143,-77.0319374,100.0,M,3,,,,,,15,,,,,,2003-04-01,2004-01-01,2003-01-01,2003-01-01,2004-01-01,,,,LINKING YOUTH OF NIGERIA THROUGH EXCHANGE INC,4
