EIN2,EIN,NTEE_IRS,NTEE_NCCS,NTEEV2,NCCS_LEVEL_1,NCCS_LEVEL_2,NCCS_LEVEL_3,F990_TOTAL_REVENUE_RECENT,F990_TOTAL_INCOME_RECENT,F990_TOTAL_ASSETS_RECENT,F990_ORG_ADDR_CITY,F990_ORG_ADDR_STATE,F990_ORG_ADDR_ZIP,F990_ORG_ADDR_STREET,CENSUS_CBSA_FIPS,CENSUS_CBSA_NAME,CENSUS_BLOCK_FIPS,CENSUS_URBAN_AREA,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,ORG_ADDR_FULL,ORG_ADDR_MATCH,LATITUDE,LONGITUDE,GEOCODER_SCORE,GEOCODER_MATCH,BMF_SUBSECTION_CODE,BMF_STATUS_CODE,BMF_PF_FILING_REQ_CODE,BMF_ORGANIZATION_CODE,BMF_INCOME_CODE,BMF_GROUP_EXEMPT_NUM,BMF_FOUNDATION_CODE,BMF_FILING_REQ_CODE,BMF_DEDUCTIBILITY_CODE,BMF_CLASSIFICATION_CODE,BMF_ASSET_CODE,BMF_AFFILIATION_CODE,ORG_RULING_DATE,ORG_FISCAL_YEAR,ORG_RULING_YEAR,ORG_YEAR_FIRST,ORG_YEAR_LAST,ORG_YEAR_COUNT,ORG_PERS_ICO,ORG_NAME_SEC,ORG_NAME_CURRENT,ORG_FISCAL_PERIOD
EIN-00-0029215,29215,X99,X99,REL-X99-RG,501C3 CHARITY,S,ZF,,0,0,SOUTH BOSTON,MA,02127-4415,523 E BROADWAY,14460,"Boston-Cambridge-Newton, MA-NH",250250604001000,U,MA,Suffolk County,"523 E BROADWAY,SOUTH BOSTON,MA,02127-4415","523 East Broadway, South Boston, Massachusetts, 02127",42.335127,-71.0435205,100,M,3,1,0,1,0,2365,10,6,1,7000,0,9,1972-10,2024,1972,2004,2024,21,,,ST GEORGE CATHEDRAL,10
EIN-00-0038065,38065,T31,T31,PSB-T31-RG,501C3 CHARITY,S,ZD,,0,0,PORTLAND,OR,97232,,38900,"Portland-Vancouver-Hillsboro, OR-WA",410510020021009,U,OR,Multnomah County,"PORTLAND,OR,97232","97232, Portland, Oregon",45.529235,-122.63984,100,M,3,,,,,,15,,,,,,2003-08,2007,2003,2003,2007,5,,,LGBTQ COMMUNITY CENTER FUND,8
EIN-00-0065837,65837,K28,K28,HMS-K28-RG,501CX NONPROFIT,O,HS,,0,0,WAKEMAN,OH,44889,4655 STATE ROUTE 60,35940,"Norwalk, OH",390779154001005,R,OH,Huron County,"4655 STATE ROUTE 60,WAKEMAN,OH,44889","4655 State Route 60, Wakeman, Ohio, 44889",41.264631,-82.399761,100,M,5,,,,,5148,0,1,,,,,1991-05,2015,1991,2012,2015,4,,64 HURON COUNTY POMONA,OHIO STATE GRANGE OF PATRONS OF HUSBANDRY,5
EIN-00-0071212,71212,N63,N63,HMS-N63-RG,501CX NONPROFIT,O,HS,,0,0,LEICESTER,MA,01524-2005,,49340,"Worcester, MA-CT",250277351004006,U,MA,Worcester County,"LEICESTER,MA,01524-2005","01524-2005, Leicester, Massachusetts",42.243048,-71.9171685,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,LITTLE LEAGUE BASEBALL INC LEICESTER LL 2210507,6
EIN-00-0085177,85177,N63,N63,HMS-N63-RG,501CX NONPROFIT,O,HS,,0,0,WORCESTER,MA,01603-0000,,49340,"Worcester, MA-CT",250277310022008,U,MA,Worcester County,"WORCESTER,MA,01603-0000","01603, Worcester, Massachusetts",42.2492500000001,-71.83295,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,LITTLE LEAGUE BASEBALL INC SHREWSBURY NAT LL 2210515,6
EIN-00-0100514,100514,N61,N61,HMS-N61-RG,501C3 CHARITY,O,HS,,0,0,GLENDIVE,MT,59330,312 COOKE ST,,,300210003001029,U,MT,Dawson County,"312 COOKE ST,GLENDIVE,MT,59330","312 Cooke St, Glendive, Montana, 59330",47.1204451876334,-104.702871080761,100,M,3,,,,,0,16,20,,,,,2004-08,2010,2004,2004,2010,7,,,DAWSON COUNTY ROD & GUN CLUB,8
EIN-00-0107893,107893,S80,S80,PSB-S80-RG,501CX NONPROFIT,O,PB,,0,0,STAFFORD SPGS,CT,6076,204 OLD SPRINGFIELD RD,25540,"Hartford-East Hartford-Middletown, CT",90138902023032,R,CT,Capitol Planning Region,"204 OLD SPRINGFIELD RD,STAFFORD SPGS,CT,6076","204 Old Springfield Rd, Stafford Springs, Connecticut, 06076",41.9924572503319,-72.3803987903512,100,M,4,,,,,239,0,0,,,,,1940-12,2011,1940,1999,2011,13,,STURBRIDGE LIONS CLUB,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,12
EIN-00-0108854,108854,G40,G40,HEL-G40-RG,501C3 CHARITY,O,HE,,0,0,FLOURTOWN,PA,19031,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",420912103001018,U,PA,Montgomery County,"FLOURTOWN,PA,19031","19031, Flourtown, Pennsylvania",40.10803,-75.21205,100,M,3,,,,,,15,,,,,,2003-11,2008,2003,2004,2008,5,,,NATIONAL FOUNDATION FOR CELIAC AWARENESS,11
EIN-00-0117615,117615,S81,S81,PSB-S81-RG,501CX NONPROFIT,O,PB,,0,0,HARWICH,MA,02645-0362,,12700,"Barnstable Town, MA",250010111004006,U,MA,Barnstable County,"HARWICH,MA,02645-0362","02645-0362, Harwich, Massachusetts",41.701302,-70.0553295,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,HARWICH JUNIOR WOMANS CLUB INC,6
EIN-00-0143597,143597,B94,B94,EDU-B94-RG,501CX NONPROFIT,O,ED,,0,0,MERRICK,NY,11566-4108,,35620,"New York-Newark-Jersey City, NY-NJ-PA",360594151012016,U,NY,Nassau County,"MERRICK,NY,11566-4108","11566-4108, Merrick, New York",40.656573,-73.558818,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,BIRCH PARENT TEACHER ASSOCIATION,6
EIN-00-0229664,229664,N63,N63,HMS-N63-RG,501C3 CHARITY,O,HS,,0,0,MUNFORD,AL,36268,,45180,"Talladega-Sylacauga, AL",11210101023048,R,AL,Talladega County,"MUNFORD,AL,36268","36268, Munford, Alabama",33.5286400000001,-85.9584849999999,100,M,3,,,,,,15,,,,,,1995-11,2006,1995,1999,2006,8,,3010410 MUNFORD LITTLE LEAGUE,LITTLE LEAGUE BASEBALL INC,11
EIN-00-0260049,260049,X21,X21,REL-X21-RG,501C3 CHARITY,O,RE,,0,0,HOSFORD,FL,32334-0092,PO BOX 92,,,120779501001103,R,FL,Liberty County,"PO BOX 92,HOSFORD,FL,32334-0092","32334-0092, Hosford, Florida",30.362526,-84.7882485,98,M,3,1,0,5,0,2024,10,6,1,7200,0,9,1969-08,2024,1969,2008,2024,17,,,CORINTH BAPTIST CHURCH,8
EIN-00-0262358,262358,O51,O51,HMS-O51-RG,501CX NONPROFIT,O,HS,,0,0,HANFORD,CA,93230,1150 W LACEY BLVD,25260,"Hanford-Corcoran, CA",60310010011007,U,CA,Kings County,"1150 W LACEY BLVD,HANFORD,CA,93230","1150 W Lacey Blvd, Hanford, California, 93230",36.330741,-119.6619435,100,M,4,,,,,1021,0,10,,,,,1948-02,2011,1948,2008,2011,4,,H90622 HANFORD WEST HIGH SCHOOL,KEY CLUB INTERNATIONAL,2
EIN-00-0262650,262650,T30,T30,PSB-T30-RG,501C3 CHARITY,S,ZD,,0,0,MEMPHIS,TN,38111,3522 CARNES AVE,32820,"Memphis, TN-MS-AR",471570074001010,U,TN,Shelby County,"3522 CARNES AVE,MEMPHIS,TN,38111","3522 Carnes Ave, Memphis, Tennessee, 38111",35.1115249436781,-89.9449798673322,100,M,3,,,,,0,15,1,,,,,2013-04,2014,2013,2013,2014,2,,,THE SOCIETY OF ST VINCENT DE PAUL OF MEMPHIS INC,4
EIN-00-0267075,267075,S80,S80,PSB-S80-RG,501CX NONPROFIT,O,PB,,0,0,BRUNSWICK,GA,31520,3324 KELWIN AVE,15260,"Brunswick, GA",131270005012044,U,GA,Glynn County,"3324 KELWIN AVE,BRUNSWICK,GA,31520","3324 Kelwin Ave, Brunswick, Georgia, 31520",31.1782287829649,-81.4884049346184,100,M,4,,,,,239,0,0,,,,,1940-12,2011,1940,1999,2011,13,,BRUNSWICK GATEWAY,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,12
EIN-00-0281181,281181,M24,M24,HMS-M24-RG,501C3 CHARITY,O,HS,,0,0,EL DORADO HLS,CA,95762,,40900,"Sacramento-Roseville-Folsom, CA",60170307112025,U,CA,El Dorado County,"EL DORADO HLS,CA,95762","95762, El Dorado Hills, California",38.6345700000001,-121.073085,100,M,3,,,,,,15,,,,,,2005-02,2008,2005,2005,2008,4,,,EL DORADO HILLS FIREFIGHTERS FOUNDATION,2
EIN-00-0343563,343563,N60,N60,HMS-N60-RG,501CX NONPROFIT,O,HS,,0,0,NEW YORK,NY,10023,2121 BROADWAY 4TH FLR,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610163004001,U,NY,New York County,"2121 BROADWAY 4TH FLR,NEW YORK,NY,10023","2121 Broadway, New York, New York, 10023",40.780611,-73.981719,100,M,7,,,,,0,0,10,,,,,2006-02,2010,2006,2006,2010,5,,,AMERICAN JAPAN KARATE ASSOCIATION INC,2
EIN-00-0344394,344394,D113,D1131,ENV-D31-MS,501C3 CHARITY,S,ZA,,0,0,SALEM,MA,1970,10 LORING AVE,14460,"Boston-Cambridge-Newton, MA-NH",250092041012007,U,MA,Essex County,"10 LORING AVE,SALEM,MA,1970","10 Loring Avenue, Salem, Massachusetts, 01970",42.504678,-70.891695,100,M,3,,,,,0,15,20,,,,,2010-02,2013,2010,2010,2013,4,,,PANDAS FOUNDATION INC,2
EIN-00-0347239,347239,P84,P84,HMS-P84-RG,501C3 CHARITY,O,HS,,0,0,BOULDER,CO,80308,PO BOX 18000,14500,"Boulder, CO",80130127071039,U,CO,Boulder County,"PO BOX 18000,BOULDER,CO,80308","80308, Boulder, Colorado",40.02856,-105.22536,98,M,3,,,,,0,15,20,,,,,2011-09,2013,2011,2011,2013,3,,,TRIBAL EDUCATION DEPARTMENTS NATIONAL ASSEMBLY CO,9
EIN-00-0360268,360268,,,,501C3 CHARITY,O,UN,,,,SPRINGFIELD,MO,65802-1894,1445 N BOONVILLE AVE,44180,"Springfield, MO",290770006001000,U,MO,Greene County,"1445 N BOONVILLE AVE,SPRINGFIELD,MO,65802-1894","1445 N Boonville Ave, Springfield, Missouri, 65802",37.224963,-93.2921159605281,100,M,3,1,0,5,0,1678,10,6,1,7000,0,9,1964-08,2024,1964,2019,2024,6,,,IGLESIA VICTORIA,8
EIN-00-0407514,407514,B112,B11,EDU-B00-MS,501C3 CHARITY,S,ZA,,0,0,NEW BALTIMORE,MI,48047,51880 WASHINGTON ST,19820,"Detroit-Warren-Dearborn, MI",260992200033018,U,MI,Macomb County,"51880 WASHINGTON ST,NEW BALTIMORE,MI,48047","51880 Washington St, New Baltimore, Michigan, 48047",42.6855929040333,-82.7422750780776,100,M,3,,,,,0,16,10,,,,,2010-02,2010,2010,2010,2010,1,,,LIGHTHOUSE ELEMENTARY PTG,2
EIN-00-0478581,478581,C27,C27,ENV-C27-RG,501C3 CHARITY,O,EN,,0,0,EDGEWOOD,NM,87015,10 CIRCLE S RD,42140,"Santa Fe, NM",350490103112038,R,NM,Santa Fe County,"10 CIRCLE S RD,EDGEWOOD,NM,87015","10 Circle S Rd, Edgewood, New Mexico, 87015",35.1043622345202,-106.194895765104,100,M,3,,,,,0,15,0,,,,,2001-07,2011,2001,2006,2011,6,,,BLUE GOOSE ALLIANCE,7
EIN-00-0490336,490336,X21,X21,REL-X21-RG,501C3 CHARITY,O,RE,,0,0,LABELLE,FL,33975-0296,PO BOX 296,17500,"Clewiston, FL",120510004042090,U,FL,Hendry County,"PO BOX 296,LABELLE,FL,33975-0296","33975-0296, Labelle, Florida",26.76483,-81.4379895,98,M,3,1,0,5,0,2024,10,6,1,7200,0,9,1969-08,2024,1969,2008,2024,17,,,EASTSIDE BAPTIST CHURCH,8
EIN-00-0495183,495183,C50,C50,ENV-C50-RG,501C3 CHARITY,O,EN,,0,0,EAGLE,ID,83616,,14260,"Boise City, ID",160010102353021,U,ID,Ada County,"EAGLE,ID,83616","83616, Eagle, Idaho",43.7007,-116.35235,100,M,3,,,,,,15,,,,,,1997-02,2006,1997,2001,2006,6,,,FRIENDS OF WEISER RIVER TRAIL INC,2
EIN-00-0502859,502859,T20,T20,PSB-T20-RG,501C3 PRIVATE FOUNDATION,S,ZC,,0,0,KINGSTON,TN,37763,149 E RACE ST,28940,"Knoxville, TN",471450302041015,U,TN,Roane County,"149 E RACE ST,KINGSTON,TN,37763","149 E Race St, Kingston, Tennessee, 37763",35.871130112384,-84.5159632584107,100,M,3,,,,,0,4,1,,,,,1988-12,2010,1988,1989,2010,22,,,TEEN SCENE INC,12
EIN-00-0502938,502938,G30,G30,HEL-G30-RG,501CX NONPROFIT,O,HE,,0,0,WEST PALM BEACH,FL,33415-2464,,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",120990039011006,U,FL,Palm Beach County,"WEST PALM BEACH,FL,33415-2464","33415-2464, West Palm Beach, Florida",26.676432,-80.1348795,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,STOP CHILDRENS CANCER OF PALM BEACH COUNTY INC,6
EIN-00-0503904,503904,B11,B11,EDU-B00-MS,501CX NONPROFIT,S,ZA,,0,0,AUGUSTA,GA,30901-2895,,12260,"Augusta-Richmond County, GA-SC",132450111003014,U,GA,Richmond County,"AUGUSTA,GA,30901-2895","30901, Augusta, Georgia",33.4625950000001,-81.980425,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,THE PILGRIM EDUCATIONAL FUND INC,6
EIN-00-0504245,504245,N32,N32,HMS-N32-RG,501CX NONPROFIT,O,HS,,0,0,PORT ORANGE,FL,32129-0005,,19660,"Deltona-Daytona Beach-Ormond Beach, FL",121270825061015,U,FL,Volusia County,"PORT ORANGE,FL,32129-0005","32129-0005, Port Orange, Florida",29.140461,-81.0216315,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,ALL CHILDRENS PARK OF PORT ORANGE INC,6
EIN-00-0504421,504421,T20,T20,PSB-T20-RG,501CX NONPROFIT,S,ZC,,0,0,JASPER,AL,35502-3128,,27530,"Jasper, AL",11270202002061,U,AL,Walker County,"JASPER,AL,35502-3128","35502-3128, Jasper, Alabama",33.83451,-87.277581,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,THE JOSEPH H AND REVA ENGEL FOUNDATION,6
EIN-00-0504487,504487,A6B,A6B,ART-A6B-RG,501CX NONPROFIT,O,AR,,0,0,GAINESVILLE,FL,32606-6359,,23540,"Gainesville, FL",120010017012005,U,FL,Alachua County,"GAINESVILLE,FL,32606-6359","32606-6359, Gainesville, Florida",29.677653,-82.413342,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,THE WILLIS BODINE CHORALE,6
EIN-00-0504551,504551,E21,E21,HOS-E21-RG,501CX NONPROFIT,O,HE,,0,0,TUSKEGEE,AL,36083-1763,,,,10872320001020,U,AL,Macon County,"TUSKEGEE,AL,36083-1763","36083-1763, Tuskegee, Alabama",32.427108,-85.69305,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,ZION HEALTH-SOCIAL SERVICES CORPORATION,6
EIN-00-0506310,506310,D20,D20,ENV-D20-RG,501C3 CHARITY,O,EN,,0,0,CUMBERLAND,RI,2864,PO BOX 113,39300,"Providence-Warwick, RI-MA",440070112002014,U,RI,Providence County,"PO BOX 113,CUMBERLAND,RI,2864","02864, Cumberland, Rhode Island",41.9072800000001,-71.390805,98,M,3,,,,,0,15,10,,,,,2009-07,2010,2009,2009,2010,2,,,U-HEAL SHELTER AND SANCTUARY,7
EIN-00-0512499,512499,S11,S11,PSB-S00-MS,501CX NONPROFIT,S,ZA,,0,0,CHAPEL HILL,NC,27516-2314,,20500,"Durham-Chapel Hill, NC",371350117001009,U,NC,Orange County,"CHAPEL HILL,NC,27516-2314","27516-2314, Chapel Hill, North Carolina",35.910414,-79.062642,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,FRIENDS OF THE DOWNTOWN,6
EIN-00-0512850,512850,A6B,A6B,ART-A6B-RG,501C3 CHARITY,O,AR,,0,0,RALEIGH,NC,27610,,39580,"Raleigh-Cary, NC",371830507003005,U,NC,Wake County,"RALEIGH,NC,27610","27610, Raleigh, North Carolina",35.778625,-78.6155699999999,100,M,3,,,,,,15,,,,,,1990-05,2008,1990,1989,2008,20,,,THE LEONARD D WILSON COMMUNITY CHOIR,5
EIN-00-0587764,587764,X21,X21,REL-X21-RG,501C3 CHARITY,O,RE,,0,0,LOWELL,MA,01852-0000,13 CUMMINGHAM ST,14460,"Boston-Cambridge-Newton, MA-NH",250173122004011,U,MA,Middlesex County,"13 CUMMINGHAM ST,LOWELL,MA,01852-0000","13 Cunningham Street, Lowell, Massachusetts, 01852",42.621498,-71.3128275,96.18,M,3,1,0,1,0,0,10,6,1,7000,0,3,2004-01,2024,2004,2004,2024,21,,,IGLESIA BETHESDA INC,1
EIN-00-0600562,600562,I72,I72,HMS-I72-RG,501CX NONPROFIT,O,HS,,0,0,WARWICK,RI,02887-6952,,39300,"Providence-Warwick, RI-MA",440030220002023,U,RI,Kent County,"WARWICK,RI,02887-6952","02887-6952, Warwick, Rhode Island",41.699403,-71.4556215,100,M,,,,,,,,,,,,,,,,1989,1989,1,,,WARWICK COALITION TO PREVENT CHILD ABUSE,6
EIN-00-0635913,635913,X21,X21,REL-X21-RG,501C3 CHARITY,O,RE,,0,0,LAWRENCE,MA,01840-1242,454 ESSEX ST,14460,"Boston-Cambridge-Newton, MA-NH",250092501001008,U,MA,Essex County,"454 ESSEX ST,LAWRENCE,MA,01840-1242","454 Essex Street, Lawrence, Massachusetts, 01840",42.706044,-71.1647865,100,M,3,1,0,1,0,0,10,6,1,7000,0,3,2004-01,2024,2004,2004,2024,21,,,MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC,1
EIN-00-0715310,715310,B70,B70,EDU-B70-RG,501C3 CHARITY,O,ED,,0,0,SOMERVILLE,MA,2144,,14460,"Boston-Cambridge-Newton, MA-NH",250173505001002,U,MA,Middlesex County,"SOMERVILLE,MA,2144","02144, Somerville, Massachusetts",42.3994900000001,-71.12129,100,M,3,,,,,,15,10,,,,,2001-09,2002,2001,2002,2002,1,,,THE OPENCULTURE FOUNDATION INC,9
EIN-00-0725914,725914,S22,S22,PSB-S22-RG,501CX NONPROFIT,O,PB,,0,0,SHREWSBURY,MA,1545,16 MALLARD CIR,49340,"Worcester, MA-CT",250277392022002,U,MA,Worcester County,"16 MALLARD CIR,SHREWSBURY,MA,1545","16 Mallard Circle, Shrewsbury, Massachusetts, 01545",42.285564,-71.747163,100,M,4,,,,,0,0,20,,,,,2002-11,2010,2002,2003,2010,8,,,TERNBERRY NEIGHBORHOOD ASSOCIATION,11
EIN-00-0726197,726197,A12,A12,ART-A00-MM,501C3 PRIVATE FOUNDATION,S,ZB,,0,0,SAUGUS,MA,1906,948 BROADWAY,14460,"Boston-Cambridge-Newton, MA-NH",250092083011000,U,MA,Essex County,"948 BROADWAY,SAUGUS,MA,1906","948 Broadway, Saugus, Massachusetts, 01906",42.467787,-71.0250255,100,M,3,,,,,0,4,1,,,,,2009-12,2013,2009,2010,2013,4,,,KOWLOON CHARITIES INC,12
EIN-00-0751441,751441,M24,M24,HMS-M24-RG,501C3 CHARITY,O,HS,,0,0,MILLBURY,MA,1527,127 ELM ST,49340,"Worcester, MA-CT",250277372002010,U,MA,Worcester County,"127 ELM ST,MILLBURY,MA,1527","127 Elm Street, Millbury, Massachusetts, 01527",42.18903,-71.7620985,100,M,3,,,,,0,16,20,,,,,2004-02,2010,2004,2004,2010,7,,,LADIES AUXILIARY MILLBURY FIRE DEPARTMENT CORP,2
EIN-00-0754461,754461,O50,O50,HMS-O50-RG,501C3 CHARITY,O,HS,,0,0,LEVERETT,MA,1054,,44140,"Springfield, MA",250110406001003,R,MA,Franklin County,"LEVERETT,MA,1054","01054, Leverett, Massachusetts",42.5077150000001,-72.491095,100,M,3,,,,,,15,,,,,,2002-10,2004,2002,2003,2004,2,,,YOUTH ADVENTURE CORPS INC,10
EIN-00-0765634,765634,X20,X20,REL-X20-RG,501C3 CHARITY,O,RE,,0,0,MATTAPAN,MA,02126-2433,75 MORTON VILLAGE DR APT 408,14460,"Boston-Cambridge-Newton, MA-NH",250251010023000,U,MA,Suffolk County,"75 MORTON VILLAGE DR APT 408,MATTAPAN,MA,02126-2433","75 Morton Village Drive, #408, Mattapan, Massachusetts, 02126",42.279759,-71.0857305,100,M,3,1,0,1,0,0,10,6,1,7000,0,3,2004-04,2024,2004,2004,2024,21,,,MERCY CHAPEL INTERNATIONAL,4
EIN-00-0802945,802945,A68,A68,ART-A68-RG,501C3 CHARITY,O,AR,,0,0,WEST STOCKBRIDGE,MA,1266,,38340,"Pittsfield, MA",250039342001020,R,MA,Berkshire County,"WEST STOCKBRIDGE,MA,1266","01266, West Stockbridge, Massachusetts",42.3370600000001,-73.37098,100,M,3,,,,,,15,,,,,,2002-08,2003,2002,2003,2003,1,,,THE NATIONAL CHILDRENS MUSIC PROJECT INC,8
EIN-00-0821422,821422,Q22,Q22,IFA-Q22-RG,501C3 CHARITY,O,HS,,0,0,WASHINGTON,DC,20005,,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",110010101003001,U,DC,District of Columbia,"WASHINGTON,DC,20005","20005, Washington, District of Columbia",38.9051143,-77.0319374,100,M,3,,,,,,15,,,,,,2003-04,2004,2003,2003,2004,2,,,LINKING YOUTH OF NIGERIA THROUGH EXCHANGE INC,4
